1;1;2017-01-16 10:10:10';2017-01-16 10:10:10';CCP;AID004;IC Integrated Clearer, Eurex CCP;"The CCP System implements the functions of a ""Central Counterpart"" and a number of other clearing and settlement related services for the Eurex Clearing House and the Cash Markets . These Services are:";The CCP has the function to take-over the settlement risk, provide anonymity conditions after trade execution and reduce the number of securities deliveries through offsetting algorithms(netting). The CCP simplifies the cross-border settlement and enable;8;4;4;4;4
2;1;2017-01-16 10:10:10';2017-01-16 10:10:10';DWH/PND/PND2;AID005;Production Near Database, XPND;PND is the datawarehouse for all legacy tading and clearing systems;The main purpose of PND is to provide historical data to market and clearing operations and survaillance. Several application use the PND as there back end:;10;5;4;4;4
3;1;2017-01-16 10:10:10';2017-01-16 10:10:10';EDRE;AID003;;Event Driven Risk Engine for real time calculation of risk exposure for derivates positions. ;The EDRE Event Driven Risk Engine does real time calculation of risk exposure for derivates positions (Eurex, ECC and KRX). It is the realtime part of the legacy risk solution and shares the master data with risk engine. EDRE was developed based on Xetra;9;4;4;4;4
4;1;2017-01-16 10:10:10';2017-01-16 10:10:10';Eurex Classic;AID001;;Eurex Derivatives Clearing System;The Eurex classic system is the Eurex legacy infrastructure for derivatives, which is currently beeing replaced by new systems with state-of-the-art architecture. ;8;4;4;4;4
5;1;2017-01-16 10:10:10';2017-01-16 10:10:10';Risk Engine;AID006;;Risk Engine is based on the Legacy VMS architecture. Decommissioning is planned for 2017.;The focus of the Risk engine is to calculate end of day margin. However it also calculates intraday margin on a 3 minute basis for the cash market trades (XETRA). The position for the cash market are delivered via CCP. ;10;4;4;4;4
6;1;2017-01-16 10:10:10';2017-01-16 10:10:10';XETRA;AID002;Xetra Vienna FFM2, Scoach;XETRA is a trading system for cash market, bonds  and warrants. Currently DBAG run several instance of XETRA for:;Xetra Functional Model;9;5;5;4;5
7;1;2017-01-16 10:10:10';2017-01-16 10:10:10';XONTRO;AID007;;XONTRO is an order routing, trading and settlement system. ;As an electronic, intermediary-based trading system set up for the German stock exchange floors, XONTRO supports the contraction of trades in all quoted u8211 – national and international u8211 – securities. At present, about 30% of all cash market trans;9;4;4;4;4
8;1;2017-01-16 10:10:10';2017-01-16 10:10:10';C7;AID021;CLEAR;C7 as the core clearing System is the trade and position management system for listed derivatives. C7 was designed to meet a changing regulatory environment, while at the same time bringing the scalability and flexibility needed to meet evolving product ;Key features of the C7 clearing architecture: ;8;4;4;4;4
9;1;2017-01-16 10:10:10';2017-01-16 10:10:10';Calypso;AID020;;Calypso is a clearing platform for OTC derivatives, which was established in 2009 for exotic OTC Products. Its main focus is to provide novation workflow support. ;Calypso offers comprehensive account management for clearing client, including: ;8;4;4;4;4
10;1;2017-01-16 10:10:10';2017-01-16 10:10:10';CASCADE;AID022;;CASCADE  (Central Application for Settlement, Clearing and Depository Expansion) ;"Times New Roman;Century Gothic;Courier New;Arial;Segoe UI;symbol;symbol;Times New Roman;&quot;;wingdings;;;;Normal;Default Paragraph Font;The CASCADE components comprises the following functionality for CSC business :";8;4;4;4;4
11;1;2017-01-16 10:10:10';2017-01-16 10:10:10';CEF;AID017;;Deutsche Börseu8217 ’s real-time data feed CEF delivers market data from the Deutsche Börse markets, e. g. Eurex and Xetra, and those of its cooperation partners. CEF® provides prices, indices and volumes to produce sophisticated information products for;CEF is the data stream for information providers, front offices of traders, investment consultants and fund managers. CEF Feed is a high performance, entitlement-driven Feed transmitted via TCP/IP and point-to-point connections. It enables users to recei;9;5;5;5;5
12;1;2017-01-16 10:10:10';2017-01-16 10:10:10';KUSTA;AID009;;Kusta is the leading system to maintain and provide account master data and member Id's of type CBF-ID for all CBF systems.;Data maintenance is via Host Based GUI access, Data Delivery is GUI, Direct Access and CSV files sent. Kusta will be extended in 2016 for Clearstream Lux related to T2S. ;8;4;4;4;4
13;1;2017-01-16 10:10:10';2017-01-16 10:10:10';Prisma;AID015;;Prisma is an exposure calculation engine based on a portfolio-based risk management approach.;Prisma calculates combined risks across all markets cleared by Eurex Clearing. Cleared products that share similar risk characteristics are assigned to the same so-called Liquidation Group, which results in more comprehensive risk calculations enabling c;9;4;4;4;4
14;1;2017-01-16 10:10:10';2017-01-16 10:10:10';StatistiX;AID019;;StatistiX is the Information factory of Deutsche Börse Group processing information over the complete value chain and offering Information services to internal and external customers of Deutsche Börse Group.;StatistiX serves also as a platform for several smaller applications leveraging a common data pool and technology.  It serves as a data store for all major applications of the stock exchange business. The reporting engine produces reports both towards th;10;4;4;4;4
15;1;2017-01-16 10:10:10';2017-01-16 10:10:10';T7;AID011;NTA, Eurex & Xetra Trading;T7 is a multi exchange trading system, built by Deutsche Börse.;T7 offers a wide range of derivatives & cash trading functionality. It is highly configurable and can be adapted to the needs of the individual markets, on any level, from the entire market down to individual instrument groups. On the technical side, Eur;9;4;4;4;4
